budget,client_itl_p95_seconds,longest_cuda_event_synchronize_seconds,longest_gpu_kernel_milliseconds,longest_gpu_kernel_name
8192,1.9610234934058075,5.7918336,474.803584,fmha_v2_flash_attention_e4m3_fp32_128_128_S_q_paged_kv_64_causal_output_bf16_sm120_kernel_nl
2048,1.2623814903956372,1.484918592,126.3152,fmha_v2_flash_attention_e4m3_fp32_128_128_S_q_paged_kv_64_causal_output_bf16_sm120_kernel_nl
